altitude,latitude,longitude,time,accuracy,speed,provider,bearing
37.2711277,22.13821354,113.5385331,1.69959E+12,53.39677811,5.05E-11,gps,21.19724655
37.2711277,22.13821354,113.5385331,1.69959E+12,53.39677811,5.05E-11,gps,21.19724655
37.2711277,22.13821354,113.5385331,1.69959E+12,53.39677811,5.05E-11,gps,21.19724655
37.2711277,22.13821354,113.5385331,1.69959E+12,53.39677811,5.05E-11,gps,21.19724655
37.2711277,22.13823075,113.538336,1.69959E+12,44.05017853,5.05E-11,gps,21.19724655
37.2711277,22.13823075,113.538336,1.69959E+12,44.05017853,5.05E-11,gps,21.19724655
37.2711277,22.13823075,113.538336,1.69959E+12,44.05017853,5.05E-11,gps,21.19724655
37.2711277,22.13823075,113.538336,1.69959E+12,44.05017853,5.05E-11,gps,21.19724655
37.2711277,22.13823075,113.538336,1.69959E+12,44.05017853,5.05E-11,gps,21.19724655
37.2711277,22.13823075,113.538336,1.69959E+12,44.05017853,5.05E-11,gps,21.19724655
37.2711277,22.13823075,113.538336,1.69959E+12,44.05017853,5.05E-11,gps,21.19724655
37.2711277,22.13823075,113.538336,1.69959E+12,44.05017853,5.05E-11,gps,21.19724655
37.2711277,22.13823075,113.538336,1.69959E+12,44.05017853,5.05E-11,gps,21.19724655
37.2711277,22.13823075,113.538336,1.69959E+12,44.05017853,5.05E-11,gps,21.19724655
37.2711277,22.13823075,113.538336,1.69959E+12,44.05017853,5.05E-11,gps,21.19724655
37.2711277,22.1380986,113.5386487,1.69959E+12,51.02971649,5.05E-11,gps,21.19724655
37.2711277,22.1380986,113.5386487,1.69959E+12,51.02971649,5.05E-11,gps,21.19724655
37.2711277,22.1380986,113.5386487,1.69959E+12,51.02971649,5.05E-11,gps,21.19724655
37.2711277,22.1380986,113.5386487,1.69959E+12,51.02971649,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
37.2711277,22.13812574,113.5386084,1.69959E+12,47.89585876,5.05E-11,gps,21.19724655
